book_id,goodreads_book_id,genres
1,2767052,"contemporary,fantasy,fantasy-sci-fi,fiction,romance,sci-fi,sci-fi-fantasy,science-fiction,scifi,scifi-fantasy,speculative-fiction,suspense,teen,teen-fiction,thriller,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-fiction"
2,3,"children,children-s,children-s-books,children-s-lit,children-s-literature,childrens,childrens-books,classics,contemporary,fantasy,fantasy-sci-fi,fiction,magic,middle-grade,mystery,sci-fi-fantasy,science-fiction-fantasy,scifi-fantasy,teen,witches,wizards,ya,ya-fantasy,ya-fiction,young-adult,young-adult-fiction"
3,41865,"contemporary,fantasy,fantasy-paranormal,fantasy-sci-fi,fiction,horror,paranormal-fantasy,paranormal-romance,sci-fi,sci-fi-fantasy,science-fiction,scifi-fantasy,teen,teen-fiction,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,ya-paranormal,ya-romance,young-adult,young-adult-fiction,young-adults"
4,2657,"adult-fiction,american-classics,american-literature,classic-fiction,classic-literature,classics,classics-to-read,contemporary,crime,fiction,general-fiction,historical,historical-fiction,history,literary-fiction,literature,modern-classics,mystery,realistic-fiction,the-classics,ya,young-adult"
5,4671,"adult-fiction,american-classics,american-literature,classic-fiction,classic-literature,classics,classics-to-read,fiction,general-fiction,historical,historical-fiction,literary-fiction,literature,modern-classics,realistic-fiction,romance,the-classics,young-adult"
6,11870085,"contemporary,contemporary-fiction,contemporary-romance,fiction,general-fiction,love-story,realistic-fiction,romance,teen,teen-fiction,ya,ya-books,ya-contemporary,ya-fiction,ya-lit,young-adult,young-adult-fiction"
7,5907,"adult-fiction,british-literature,children,children-s,children-s-books,childrens,childrens-books,classic-literature,classics,dragons,fantasy,fantasy-fiction,fantasy-sci-fi,fantasy-scifi,fiction,fiction-fantasy,literature,magic,middle-grade,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi-fantasy,speculative-fiction,ya,young-adult"
8,5107,"adult-fiction,american-classics,american-literature,classic-fiction,classic-literature,classics,classics-to-read,contemporary,fiction,general-fiction,historical-fiction,literary-fiction,literature,modern-classics,realistic-fiction,teen,the-classics,to-read-classics,ya,young-adult"
9,960,"adult-fiction,american-literature,classics,contemporary,contemporary-fiction,crime,crime-mystery,crime-thriller,detective,fantasy,fiction,general-fiction,historical,historical-fiction,history,literature,modern-fiction,murder-mystery,mystery,mystery-crime,mystery-suspense,mystery-thriller,mystery-thrillers,popular-fiction,read-fiction,realistic-fiction,romance,sci-fi,science-fiction,suspense,suspense-thriller,thriller,thriller-mystery,thriller-suspense,thrillers"
10,1885,"adult-fiction,british-literature,classic-fiction,classic-literature,classics,classics-to-read,english-literature,fiction,general-fiction,historical,historical-fiction,historical-romance,history,literary-fiction,literature,romance,the-classics,young-adult"
11,77203,"adult-fiction,classics,contemporary,contemporary-fiction,fiction,general-fiction,historical,historical-fiction,history,literary-fiction,literature,modern-fiction,non-fiction,popular-fiction,realistic-fiction,to-read-fiction,war,young-adult"
12,13335037,"fantasy,fantasy-sci-fi,fiction,romance,sci-fi,sci-fi-fantasy,science-fiction,scifi,teen,teen-fiction,thriller,ya,ya-books,ya-dystopia,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-fiction"
13,5470,"adult-fiction,british-literature,classic-fiction,classic-literature,classics-to-read,english-literature,fantasy,fantasy-sci-fi,fiction,general-fiction,horror,literary-fiction,literature,modern-classics,philosophy,politics,sci-fi,sci-fi-fantasy,science-fiction,scifi,scifi-fantasy,speculative-fiction,to-read-classics,young-adult"
14,7613,"adult-fiction,british-literature,classic-fiction,classic-literature,classics,classics-to-read,english-literature,fantasy,fiction,general-fiction,historical,historical-fiction,history,literary-fiction,literature,modern-classics,philosophy,politics,sci-fi,sci-fi-fantasy,science-fiction,the-classics,to-read-classics,ya,young-adult"
15,48855,"auto-biography,autobiography,autobiography-memoir,bio-memoir,biographies-memoirs,biography,biography-autobiography,biography-memoir,children,children-s,children-s-books,childrens,classic-literature,classics,classics-to-read,fiction,historical,historical-fiction,historical-non-fiction,history,literature,memoir,memoir-biography,memoirs,modern-classics,non-fiction,nonfiction,teen,war,world-war-2,world-war-ii,ya,young-adult"
16,2429135,"adult-fiction,contemporary,contemporary-fiction,crime,crime-mystery,crime-thriller,detective,fiction,general-fiction,literature,modern-fiction,murder-mystery,mystery,mystery-crime,mystery-suspense,mystery-thriller,realistic-fiction,suspense,suspense-thriller,thriller,thriller-mystery,thriller-suspense,thrillers"
