book_id,goodreads_book_id,title,authors,genres
1,2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"contemporary,fantasy,fantasy-sci-fi,fiction,romance,sci-fi,sci-fi-fantasy,science-fiction,scifi,scifi-fantasy,speculative-fiction,suspense,teen,teen-fiction,thriller,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-fiction"
2,3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré","children,children-s,children-s-books,children-s-lit,children-s-literature,childrens,childrens-books,classics,contemporary,fantasy,fantasy-sci-fi,fiction,magic,middle-grade,mystery,sci-fi-fantasy,science-fiction-fantasy,scifi-fantasy,teen,witches,wizards,ya,ya-fantasy,ya-fiction,young-adult,young-adult-fiction"
3,41865,"Twilight (Twilight, #1)",Stephenie Meyer,"contemporary,fantasy,fantasy-paranormal,fantasy-sci-fi,fiction,horror,paranormal-fantasy,paranormal-romance,sci-fi,sci-fi-fantasy,science-fiction,scifi-fantasy,teen,teen-fiction,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,ya-paranormal,ya-romance,young-adult,young-adult-fiction,young-adults"
4,2657,To Kill a Mockingbird,Harper Lee,"adult-fiction,american-classics,american-literature,classic-fiction,classic-literature,classics,classics-to-read,contemporary,crime,fiction,general-fiction,historical,historical-fiction,history,literary-fiction,literature,modern-classics,mystery,realistic-fiction,the-classics,ya,young-adult"
5,4671,The Great Gatsby,F. Scott Fitzgerald,"adult-fiction,american-classics,american-literature,classic-fiction,classic-literature,classics,classics-to-read,fiction,general-fiction,historical,historical-fiction,literary-fiction,literature,modern-classics,realistic-fiction,romance,the-classics,young-adult"
6,11870085,The Fault in Our Stars,John Green,"contemporary,contemporary-fiction,contemporary-romance,fiction,general-fiction,love-story,realistic-fiction,romance,teen,teen-fiction,ya,ya-books,ya-contemporary,ya-fiction,ya-lit,young-adult,young-adult-fiction"
7,5907,The Hobbit,J.R.R. Tolkien,"adult-fiction,british-literature,children,children-s,children-s-books,childrens,childrens-books,classic-literature,classics,dragons,fantasy,fantasy-fiction,fantasy-sci-fi,fantasy-scifi,fiction,fiction-fantasy,literature,magic,middle-grade,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi-fantasy,speculative-fiction,ya,young-adult"
8,5107,The Catcher in the Rye,J.D. Salinger,"adult-fiction,american-classics,american-literature,classic-fiction,classic-literature,classics,classics-to-read,contemporary,fiction,general-fiction,historical-fiction,literary-fiction,literature,modern-classics,realistic-fiction,teen,the-classics,to-read-classics,ya,young-adult"
9,960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,"adult-fiction,american-literature,classics,contemporary,contemporary-fiction,crime,crime-mystery,crime-thriller,detective,fantasy,fiction,general-fiction,historical,historical-fiction,history,literature,modern-fiction,murder-mystery,mystery,mystery-crime,mystery-suspense,mystery-thriller,mystery-thrillers,popular-fiction,read-fiction,realistic-fiction,romance,sci-fi,science-fiction,suspense,suspense-thriller,thriller,thriller-mystery,thriller-suspense,thrillers"
10,1885,Pride and Prejudice,Jane Austen,"adult-fiction,british-literature,classic-fiction,classic-literature,classics,classics-to-read,english-literature,fiction,general-fiction,historical,historical-fiction,historical-romance,history,literary-fiction,literature,romance,the-classics,young-adult"
11,77203,The Kite Runner,Khaled Hosseini,"adult-fiction,classics,contemporary,contemporary-fiction,fiction,general-fiction,historical,historical-fiction,history,literary-fiction,literature,modern-fiction,non-fiction,popular-fiction,realistic-fiction,to-read-fiction,war,young-adult"
12,13335037,"Divergent (Divergent, #1)",Veronica Roth,"fantasy,fantasy-sci-fi,fiction,romance,sci-fi,sci-fi-fantasy,science-fiction,scifi,teen,teen-fiction,thriller,ya,ya-books,ya-dystopia,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-fiction"
13,5470,1984,"George Orwell, Erich Fromm, Celâl Üster","adult-fiction,british-literature,classic-fiction,classic-literature,classics-to-read,english-literature,fantasy,fantasy-sci-fi,fiction,general-fiction,horror,literary-fiction,literature,modern-classics,philosophy,politics,sci-fi,sci-fi-fantasy,science-fiction,scifi,scifi-fantasy,speculative-fiction,to-read-classics,young-adult"
14,7613,Animal Farm,George Orwell,"adult-fiction,british-literature,classic-fiction,classic-literature,classics,classics-to-read,english-literature,fantasy,fiction,general-fiction,historical,historical-fiction,history,literary-fiction,literature,modern-classics,philosophy,politics,sci-fi,sci-fi-fantasy,science-fiction,the-classics,to-read-classics,ya,young-adult"
15,48855,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday","auto-biography,autobiography,autobiography-memoir,bio-memoir,biographies-memoirs,biography,biography-autobiography,biography-memoir,children,children-s,children-s-books,childrens,classic-literature,classics,classics-to-read,fiction,historical,historical-fiction,historical-non-fiction,history,literature,memoir,memoir-biography,memoirs,modern-classics,non-fiction,nonfiction,teen,war,world-war-2,world-war-ii,ya,young-adult"
16,2429135,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland","adult-fiction,contemporary,contemporary-fiction,crime,crime-mystery,crime-thriller,detective,fiction,general-fiction,literature,modern-fiction,murder-mystery,mystery,mystery-crime,mystery-suspense,mystery-thriller,realistic-fiction,suspense,suspense-thriller,thriller,thriller-mystery,thriller-suspense,thrillers"
17,6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"contemporary,fantasy,fantasy-sci-fi,fiction,romance,sci-fi,sci-fi-fantasy,science-fiction,scifi,scifi-fantasy,speculative-fiction,suspense,teen,teen-fiction,thriller,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-fiction"
18,5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck","children,children-s,children-s-books,children-s-lit,children-s-literature,childrens,childrens-books,classics,contemporary,fantasy,fantasy-sci-fi,fiction,magic,middle-grade,mystery,sci-fi-fantasy,science-fiction-fantasy,scifi-fantasy,teen,witches,wizards,ya,ya-fantasy,ya-fiction,young-adult,young-adult-fiction"
19,34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"adult-fiction,british-literature,classic-literature,classics,fantasy,fantasy-and-sci-fi,fantasy-fiction,fantasy-science-fiction,fantasy-scifi,fiction,fiction-fantasy,literature,magic,modern-classics,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-fantasy,sf-fantasy,speculative-fiction,war,ya,young-adult"
20,7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"fantasy,fantasy-sci-fi,fiction,romance,sci-fi,sci-fi-fantasy,science-fiction,scifi,scifi-fantasy,speculative-fiction,suspense,teen,teen-fiction,thriller,war,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-fiction"
21,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré","british-literature,children,children-s,children-s-lit,children-s-literature,children-young-adult,childrens-books,childrens-lit,fantasy,fantasy-fiction,fantasy-sci-fi,fantasy-scifi,fiction,fiction-fantasy,juvenile-fiction,magic,magical,mystery,romance,sci-fi,science-fiction-fantasy,scifi-fantasy,teen,witches,wizards,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-fantasy,young-adult-fiction"
22,12232938,The Lovely Bones,Alice Sebold,"adult-fiction,classics,contemporary,contemporary-fiction,crime,crime-mystery,fantasy,fiction,general-fiction,ghosts,horror,literary-fiction,literature,magical-realism,modern-fiction,murder-mystery,mystery,mystery-suspense,mystery-thriller,realistic-fiction,romance,suspense,thriller,ya,young-adult"
23,15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré","children,children-s,children-s-books,children-s-lit,children-s-literature,childrens,childrens-books,classics,contemporary,fantasy,fantasy-sci-fi,fantasy-scifi,fiction,magic,middle-grade,mystery,sci-fi-fantasy,science-fiction-fantasy,scifi-fantasy,teen,witches,wizards,ya,ya-fantasy,ya-fiction,young-adult,young-adult-fiction"
24,6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré","children,children-s,children-s-books,children-s-lit,children-s-literature,childrens,childrens-books,classics,contemporary,dragons,fantasy,fantasy-sci-fi,fantasy-scifi,fiction,middle-grade,mystery,sci-fi-fantasy,science-fiction-fantasy,scifi-fantasy,teen,witches,wizards,ya,ya-fantasy,ya-fiction,young-adult,young-adult-fiction"
